name,code,price,category,unit,stock,description,barcode,moysklad_id
Труба профильная 120х120х4,00347,950.0,Труба квадрат,м,0,,2000000004020,718a0c17-ec6e-11ea-0a80-04f6003bf7ad
Труба профильная 15х15х1.5 Северсталь,00112,45.0,Труба квадрат,м,0,,2000000001142,e7b19ce7-a517-11ea-0a80-00ac0000dfbd
Труба профильная 20х20х1.2 Северсталь,00441,65.0,Труба квадрат,м,0,,2000000005386,71a6e118-4d93-11ee-0a80-01ec0014e940
Труба профильная 20х20х1.5 Северсталь,00116,60.0,Труба квадрат,м,0,,2000000001180,e7b377ec-a517-11ea-0a80-00ac0000dfc1
Труба профильная 20х20х1.5т Северсталь,00338,90.0,Труба квадрат,м,0,,2000000003894,bb834ae4-e92d-11ea-0a80-00e9000b3f56
Труба профильная 20х20х2 Северсталь,00035,70.0,Труба квадрат,м,0,,2000000000374,e7b60360-a517-11ea-0a80-00ac0000dfc5
Труба профильная 20х20х2т Северсталь,00331,100.0,Труба квадрат,м,0,,2000000003764,74c731ee-d6ee-11ea-0a80-05a90014e4fd
Труба профильная 25х25х1.5 Северсталь,00111,75.0,Труба квадрат,м,0,,2000000001135,e7b7c672-a517-11ea-0a80-00ac0000dfc9
Труба профильная 25х25х1.5т Северсталь,00334,80.0,Труба квадрат,м,0,,2000000003825,ecc667e4-defe-11ea-0a80-057300212e1a
Труба профильная 25х25х2 Северсталь,00042,85.0,Труба квадрат,м,0,,2000000000442,e7b98fa2-a517-11ea-0a80-00ac0000dfcd
Труба профильная 25х25х2.5 Северсталь,00308,200.0,Труба квадрат,м,0,,2000000003368,723a10d3-b23e-11ea-0a80-0367001a759a
Труба профильная 25х25х2т Северсталь,00371,115.0,Труба квадрат,м,0,,2000000004358,f7235524-3e11-11eb-0a80-0670004368bd
Труба профильная 30х30х1.2,00464,60.0,Труба квадрат,м,0,,2000000005720,d0c46840-d04c-11f0-0a80-016a00112831
Труба профильная 30х30х1.5 Северсталь,00038,95.0,Труба квадрат,м,0,,2000000000404,e7bd0c39-a517-11ea-0a80-00ac0000dfd5
Труба профильная 30х30х1.5т Северсталь,00375,105.0,Труба квадрат,м,0,,2000000004396,52427acd-64a8-11eb-0a80-06b40025b5e2
Труба профильная 30х30х2 Северсталь,00134,110.0,Труба квадрат,м,0,,2000000001364,e7bea783-a517-11ea-0a80-00ac0000dfd9
Труба профильная 40х40х1.5 Северсталь,00124,120.0,Труба квадрат,м,0,,2000000001265,e7c03f3b-a517-11ea-0a80-00ac0000dfdd
Труба профильная 40х40х1.5т Северсталь,00335,185.0,Труба квадрат,м,0,,2000000003832,4f4485a2-deff-11ea-0a80-09f60022b5eb
Труба профильная 40х40х2 Северсталь,00072,150.0,Труба квадрат,м,0,,2000000000749,e7c1edb4-a517-11ea-0a80-00ac0000dfe1
Труба профильная 40х40х2.5,00083,180.0,Труба квадрат,м,0,,2000000000855,e7c3874d-a517-11ea-0a80-00ac0000dfe5
Труба профильная 40х40х3 Северсталь,00394,200.0,Труба квадрат,м,0,,2000000004709,7412e0c5-3bdc-11ed-0a80-0e6700164036
Труба профильная 50х50х1.5 Северсталь,00012,160.0,Труба квадрат,м,0,,2000000000145,e7cbe2bd-a517-11ea-0a80-00ac0000dff9
Труба профильная 50х50х2 Северсталь,00147,200.0,Труба квадрат,м,0,,2000000001494,e7cd7440-a517-11ea-0a80-00ac0000dffd
